,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000101856,-1.272271518,4.678581199,-10.23168953,3.53E-17,5.49E-13,28.46536374,PGRMC1
ENSG00000133943,-1.305075868,7.146477799,-8.895537519,2.86E-14,2.22E-10,22.05757123,DGLUCY
ENSG00000022267,-1.798609492,3.155054757,-8.56603753,1.48E-13,7.67E-10,20.19640615,FHL1
ENSG00000271503,-1.711889845,6.016749667,-8.472468538,2.36E-13,9.16E-10,20.00692274,CCL5
ENSG00000168497,-2.036039775,4.447201418,-8.278388558,6.17E-13,1.47E-09,19.03250111,CAVIN2
ENSG00000197375,-0.936665197,4.000934428,-8.268493302,6.48E-13,1.47E-09,18.9643536,SLC22A5
ENSG00000168016,-1.179366754,6.109174187,-8.264001202,6.63E-13,1.47E-09,19.00464113,TRANK1
ENSG00000120254,1.651272983,3.19875228,8.215827985,8.41E-13,1.64E-09,18.63666075,MTHFD1L
ENSG00000101162,-1.742075974,6.00320828,-8.18984209,9.56E-13,1.65E-09,18.64766347,TUBB1
ENSG00000156113,3.776234494,3.515273492,8.159938861,1.11E-12,1.73E-09,18.38998843,KCNMA1
ENSG00000119714,-1.831160284,3.129949868,-7.946182687,3.18E-12,4.50E-09,17.22783064,GPR68
ENSG00000069020,1.791621793,4.952368386,7.875347825,4.51E-12,5.84E-09,17.14320545,MAST4
ENSG00000196684,-1.302270649,5.597105315,-7.837632533,5.42E-12,6.49E-09,16.96511752,HSH2D
ENSG00000124491,-1.732321985,6.205245182,-7.806630558,6.31E-12,7.02E-09,16.81700083,F13A1
ENSG00000173868,-1.565748188,7.453795615,-7.76254225,7.83E-12,8.13E-09,16.60750417,PHOSPHO1
ENSG00000119402,0.982347498,6.412823771,7.691918869,1.11E-11,1.08E-08,16.26981708,FBXW2
ENSG00000101335,-2.159070682,4.111568517,-7.637617396,1.44E-11,1.32E-08,15.98095132,MYL9
ENSG00000244617,-1.874328796,2.594313997,-7.533017969,2.40E-11,2.08E-08,15.18156378,ASPRV1
ENSG00000154146,-1.695182706,6.955123284,-7.398280407,4.62E-11,3.78E-08,14.88629731,NRGN
ENSG00000026950,-1.086823146,6.47978979,-7.378340415,5.09E-11,3.96E-08,14.79035766,BTN3A1
ENSG00000177324,-1.699537214,1.191261289,-7.283555986,8.04E-11,5.96E-08,13.51770879,BEND2
ENSG00000127920,-1.778613343,2.221833903,-7.249724721,9.46E-11,6.69E-08,13.8823842,GNG11
ENSG00000153162,-1.152566002,1.795818767,-7.160451773,1.45E-10,9.78E-08,13.35734364,BMP6
ENSG00000164691,-0.899384874,6.885505985,-7.085049065,2.09E-10,1.30E-07,13.42204601,TAGAP
ENSG00000125384,0.955735246,5.486910488,7.084096868,2.10E-10,1.30E-07,13.42246143,PTGER2
ENSG00000154978,0.738351202,6.624782754,7.069580023,2.25E-10,1.32E-07,13.34832295,VOPP1
ENSG00000113318,0.772227439,4.590703164,7.065594487,2.29E-10,1.32E-07,13.35058566,MSH3
ENSG00000255398,-2.089581546,3.911837608,-7.042342724,2.56E-10,1.38E-07,13.21662316,HCAR3
ENSG00000182782,-1.83345793,4.287767341,-7.041749806,2.57E-10,1.38E-07,13.23733764,HCAR2
ENSG00000135378,-1.120011187,4.254583598,-6.998245198,3.16E-10,1.64E-07,13.04156281,PRRG4
ENSG00000119638,0.574514409,5.840036163,6.961073583,3.76E-10,1.89E-07,12.85056396,NEK9
ENSG00000111644,-1.424438043,4.532055395,-6.92742581,4.42E-10,2.15E-07,12.7181986,ACRBP
ENSG00000136999,-2.725197619,0.195618208,-6.920641508,4.57E-10,2.15E-07,11.3670549,CCN3
ENSG00000165702,-1.221976756,3.238008137,-6.886923102,5.36E-10,2.45E-07,12.48966276,GFI1B
ENSG00000137261,-1.400608382,1.64134266,-6.868796551,5.84E-10,2.59E-07,11.96422768,KIAA0319
ENSG00000177119,-0.619655079,5.161932742,-6.863078745,5.99E-10,2.59E-07,12.41267233,ANO6
ENSG00000198478,-1.526012745,3.806017699,-6.793375262,8.35E-10,3.39E-07,12.10168686,SH3BGRL2
ENSG00000115425,0.946967684,5.929528189,6.792994893,8.36E-10,3.39E-07,12.07590696,PECR
ENSG00000162971,0.870417687,4.227229073,6.789782185,8.49E-10,3.39E-07,12.09235061,TYW5
ENSG00000174611,-1.693909939,5.573028076,-6.782276007,8.80E-10,3.42E-07,12.04197378,KY
ENSG00000164120,2.584504406,5.04616162,6.772724196,9.20E-10,3.49E-07,12.0113619,HPGD
ENSG00000075303,0.980710807,6.677773756,6.761996829,9.68E-10,3.53E-07,11.93422308,SLC25A40
ENSG00000156265,-1.025605106,4.564239484,-6.754323535,1.00E-09,3.53E-07,11.92971526,MAP3K7CL
ENSG00000133657,0.973400318,6.665377375,6.753354764,1.01E-09,3.53E-07,11.89478139,ATP13A3
ENSG00000110002,1.555664458,3.138806004,6.750766073,1.02E-09,3.53E-07,11.87842287,VWA5A
ENSG00000005249,-1.359954686,5.075751648,-6.736773685,1.09E-09,3.69E-07,11.8397933,PRKAR2B
ENSG00000111731,0.848950492,7.192352238,6.722070988,1.17E-09,3.87E-07,11.75659629,C2CD5
ENSG00000156414,1.585209093,5.554808845,6.689827484,1.36E-09,4.41E-07,11.61467177,TDRD9
ENSG00000172594,1.716216429,4.251277757,6.684356226,1.40E-09,4.43E-07,11.61641143,SMPDL3A
ENSG00000180354,-0.964240175,5.019730239,-6.676827024,1.45E-09,4.50E-07,11.56799914,MTURN
ENSG00000124508,-0.657293893,4.16165909,-6.659505608,1.56E-09,4.77E-07,11.50874141,BTN2A2
ENSG00000154928,-1.668707661,6.793187452,-6.631266649,1.79E-09,5.27E-07,11.34247219,EPHB1
ENSG00000228716,0.873329532,5.299872109,6.630548447,1.80E-09,5.27E-07,11.34935587,DHFR
ENSG00000184005,1.553942179,4.986446539,6.62025687,1.88E-09,5.39E-07,11.30779284,ST6GALNAC3
